Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,G+Ap90,G-PKp90,G+A-PKp90,xG,npxG,xA,npxG+xA,xGp90,xAp90,xG+xAp90,npxGp90,npxG+xAp90,Matches
143,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,26-195,1994,29,28,2462,27.4,16,10,8,8,9,5,0,0.58,0.37,0.95,0.29,0.66,12.8,5.9,9.7,15.6,0.47,0.35,0.82,0.22,0.57,Matches
144,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,32-029,1989,16,16,1381,15.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.01,0.02,0.01,0.02,Matches
145,Fernandinho\Fernandinho,br BRA,MF,Manchester City,35-322,1985,15,8,816,9.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.06,0.03,0.09,0.06,0.09,Matches
146,Sam Field\Sam-Field,eng ENG,MF,West Brom,22-318,1998,3,0,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
147,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,29-171,1991,27,25,2146,23.8,6,5,6,0,0,1,0,0.25,0.21,0.46,0.25,0.46,10.6,10.6,3.8,14.4,0.44,0.16,0.60,0.44,0.60,Matches
148,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,29-210,1991,22,20,1765,19.6,0,2,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,2.0,2.7,0.04,0.10,0.14,0.04,0.14,Matches
149,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,20-298,2000,22,14,1340,14.9,6,5,6,0,0,0,0,0.40,0.34,0.74,0.40,0.74,4.2,4.2,3.7,7.9,0.28,0.25,0.53,0.28,0.53,Matches
150,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,20-095,2000,19,18,1596,17.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.3,1.1,0.04,0.01,0.06,0.04,0.06,Matches
151,Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,25-028,1996,24,22,1799,20.0,2,3,2,0,0,3,0,0.10,0.15,0.25,0.10,0.25,4.0,4.0,1.9,5.9,0.20,0.10,0.30,0.20,0.30,Matches
152,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,33-005,1988,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
153,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,23-079,1998,1,1,80,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.03,0.31,0.34,0.03,0.34,Matches
154,Ryan Fraser\Ryan-Fraser,sco SCO,FWMF,Newcastle Utd,27-026,1994,18,9,928,10.3,0,2,0,0,0,2,1,0.00,0.19,0.19,0.00,0.19,0.9,0.9,2.1,3.0,0.09,0.20,0.29,0.09,0.29,Matches
155,Fred\Fred,br BRA,MF,Manchester Utd,28-017,1993,23,20,1835,20.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.9,3.0,0.05,0.09,0.14,0.05,0.14,Matches
156,Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,28-163,1992,11,5,454,5.0,1,1,1,0,0,2,0,0.20,0.20,0.40,0.20,0.40,0.2,0.2,1.2,1.4,0.04,0.24,0.28,0.04,0.28,Matches
157,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,34-349,1986,9,8,702,7.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
158,Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,25-142,1995,26,23,2122,23.6,1,2,1,0,0,4,0,0.04,0.08,0.13,0.04,0.13,1.1,1.1,1.9,2.9,0.05,0.08,0.12,0.05,0.12,Matches
159,Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,21-044,2000,23,22,1972,21.9,2,2,2,0,0,8,0,0.09,0.09,0.18,0.09,0.18,1.3,1.3,0.9,2.2,0.06,0.04,0.10,0.06,0.10,Matches
160,Eric García\Eric-Garcia,es ESP,DF,Manchester City,20-072,2001,4,2,217,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.04,0.00,0.04,Matches
161,Dwight Gayle\Dwight-Gayle,eng ENG,FWMF,Newcastle Utd,30-156,1990,11,2,301,3.3,1,0,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30,0.8,0.8,0.1,0.9,0.24,0.02,0.26,0.24,0.26,Matches
162,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,30-135,1990,24,24,2115,23.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
163,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FW,Aston Villa,25-323,1995,18,9,913,10.1,6,0,4,2,2,1,0,0.59,0.00,0.59,0.39,0.39,4.8,3.3,1.7,5.0,0.49,0.17,0.66,0.33,0.51,Matches
164,Kieran Gibbs\Kieran-Gibbs,eng ENG,DF,West Brom,31-177,1989,10,9,809,9.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.03,0.04,0.01,0.04,Matches
165,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,FWMF,Wolves,21-054,2000,4,1,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.08,0.08,0.00,0.08,Matches
166,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,19-284,2001,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
167,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,34-173,1986,14,8,707,7.9,4,0,4,0,0,1,0,0.51,0.00,0.51,0.51,0.51,3.9,3.9,0.7,4.6,0.49,0.09,0.58,0.49,0.58,Matches
168,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Everton,23-066,1998,21,20,1860,20.7,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.0,0.4,0.02,0.00,0.02,0.02,0.02,Matches
169,André Gomes\Andre-Gomes,pt POR,MF,Everton,27-235,1993,22,14,1364,15.2,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.5,0.8,0.02,0.03,0.05,0.02,0.05,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,23-303,1997,7,6,590,6.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,FWMF,Everton,20-026,2001,3,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
172,Karlan Grant\Karlan-Grant,eng ENG,FWMF,West Brom,23-185,1997,17,14,1086,12.1,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,2.1,2.1,0.0,2.1,0.18,0.00,0.18,0.18,0.18,Matches
173,Demarai Gray\Demarai-Gray,eng ENG,FW,Leicester City,24-267,1996,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.43,0.00,0.43,0.43,0.43,Matches
174,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,25-193,1995,22,22,1977,22.0,6,10,6,0,0,6,0,0.27,0.46,0.73,0.27,0.73,4.2,4.2,8.1,12.2,0.19,0.37,0.56,0.19,0.56,Matches
175,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,19-172,2001,23,15,1294,14.4,1,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,3.5,3.5,1.0,4.5,0.25,0.07,0.31,0.25,0.31,Matches
176,Pascal Groß\Pascal-Gross,de GER,MF,Brighton,29-280,1991,25,18,1698,18.9,2,6,0,2,3,1,0,0.11,0.32,0.42,0.00,0.32,4.4,2.2,4.6,6.8,0.24,0.24,0.48,0.11,0.36,Matches
177,Kamil Grosicki\Kamil-Grosicki,pl POL,FWMF,West Brom,32-287,1988,3,2,148,1.6,0,1,0,0,0,0,0,0.00,0.61,0.61,0.00,0.61,0.1,0.1,0.1,0.2,0.06,0.07,0.13,0.06,0.13,Matches
178,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,34-071,1987,29,29,2610,29.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
179,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,30-149,1990,23,20,1741,19.3,12,1,11,1,2,0,0,0.62,0.05,0.67,0.57,0.62,8.3,6.8,3.8,10.5,0.43,0.19,0.62,0.35,0.55,Matches
180,Antwoine Hackford\Antwoine-Hackford,eng ENG,DFFW,Sheffield Utd,17-002,2004,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.16,0.00,1.16,1.16,1.16,Matches
181,Sébastien Haller\Sebastien-Haller,ci CIV,FW,West Ham,26-273,1994,16,10,937,10.4,3,0,3,0,0,0,0,0.29,0.00,0.29,0.29,0.29,2.9,2.9,1.2,4.1,0.28,0.12,0.40,0.28,0.40,Matches
182,Rekeem Harper\Rekeem-Harper,eng ENG,MF,West Brom,21-014,2000,2,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.12,0.00,0.12,0.12,0.12,Matches
183,Jack Harrison\Jack-Harrison,eng ENG,MF,Leeds United,24-122,1996,28,26,2150,23.9,6,5,6,0,0,2,0,0.25,0.21,0.46,0.25,0.46,4.5,4.5,4.9,9.4,0.19,0.21,0.39,0.19,0.39,Matches
184,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,25-249,1995,4,4,360,4.0,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,1.1,1.1,0.0,1.1,0.27,0.00,0.27,0.27,0.27,Matches
185,Kai Havertz\Kai-Havertz,de GER,MFFW,Chelsea,21-284,1999,21,14,1166,13.0,1,2,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,3.0,3.0,1.3,4.3,0.23,0.10,0.33,0.23,0.33,Matches
186,Isaac Hayden\Isaac-Hayden,eng ENG,MFDF,Newcastle Utd,26-000,1995,24,22,1942,21.6,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches
187,Michael Hector\Michael-Hector,jm JAM,DF,Fulham,28-246,1992,4,3,263,2.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches
188,Ahmed Hegazi\Ahmed-Hegazi,eg EGY,DF,West Brom,30-056,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
189,Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,24-010,1997,6,5,495,5.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
190,Jordan Henderson\Jordan-Henderson,eng ENG,MFDF,Liverpool,30-278,1990,21,20,1704,18.9,1,1,1,0,0,0,0,0.05,0.05,0.11,0.05,0.11,1.7,1.7,1.4,3.1,0.09,0.07,0.16,0.09,0.16,Matches
191,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Newcastle Utd,29-050,1992,19,17,1407,15.6,2,1,2,0,0,3,1,0.13,0.06,0.19,0.13,0.19,1.1,1.1,0.7,1.8,0.07,0.05,0.12,0.07,0.12,Matches
192,Pablo Hernández\Pablo-Hernandez,es ESP,MF,Leeds United,35-345,1985,13,2,341,3.8,0,2,0,0,0,1,0,0.00,0.53,0.53,0.00,0.53,0.9,0.9,0.6,1.6,0.24,0.17,0.41,0.24,0.41,Matches
193,Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,28-257,1992,28,28,2350,26.1,13,9,13,0,0,0,0,0.50,0.34,0.84,0.50,0.84,7.8,7.8,7.5,15.3,0.30,0.29,0.59,0.30,0.59,Matches
194,Ki-Jana Hoever\Ki-Jana-Hoever,nl NED,DF,Wolves,19-063,2002,9,3,396,4.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches
195,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,25-183,1995,22,20,1838,20.4,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,1.1,1.1,0.2,1.4,0.06,0.01,0.07,0.06,0.07,Matches
196,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,24-151,1996,18,18,1582,17.6,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.2,1.0,0.04,0.01,0.06,0.04,0.06,Matches
197,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,30-048,1991,4,3,225,2.5,1,1,1,0,0,0,0,0.40,0.40,0.80,0.40,0.80,0.5,0.5,0.8,1.3,0.20,0.32,0.52,0.20,0.52,Matches
198,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FWDF,Chelsea,20-135,2000,19,9,900,10.0,2,2,2,0,0,0,0,0.20,0.20,0.40,0.20,0.40,1.2,1.2,2.3,3.5,0.12,0.23,0.35,0.12,0.35,Matches
199,Niall Huggins\Niall-Huggins,wal WAL,DF,Leeds United,20-094,2000,1,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
200,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Tottenham,25-229,1995,29,29,2610,29.0,1,3,1,0,0,6,0,0.03,0.10,0.14,0.03,0.14,0.5,0.5,1.3,1.8,0.02,0.05,0.06,0.02,0.06,Matches
201,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,31-279,1989,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
202,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,24-170,1996,16,8,727,8.1,6,0,6,0,1,0,0,0.74,0.00,0.74,0.74,0.74,4.6,3.8,1.7,5.5,0.57,0.21,0.78,0.47,0.68,Matches
203,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,28-242,1992,22,20,1686,18.7,8,3,6,2,2,1,0,0.43,0.16,0.59,0.32,0.48,6.3,4.8,2.1,6.8,0.34,0.11,0.45,0.25,0.36,Matches
204,Branislav Ivanović\Branislav-Ivanovic,rs SRB,DF,West Brom,37-028,1984,12,8,754,8.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.6,0.07,0.01,0.07,0.07,0.07,Matches
205,Alex Iwobi\Alex-Iwobi,ng NGA,FWDF,Everton,24-323,1996,25,15,1324,14.7,1,2,1,0,0,0,0,0.07,0.14,0.20,0.07,0.20,0.8,0.8,1.8,2.6,0.06,0.12,0.18,0.06,0.18,Matches
206,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,38-217,1982,8,5,428,4.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
207,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,27-223,1993,13,2,264,2.9,0,1,0,0,0,2,0,0.00,0.34,0.34,0.00,0.34,1.2,1.2,1.8,3.0,0.39,0.62,1.01,0.39,1.01,Matches
208,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,23-132,1997,12,9,727,8.1,3,0,3,0,0,3,0,0.37,0.00,0.37,0.37,0.37,1.9,1.9,0.3,2.2,0.23,0.04,0.27,0.23,0.27,Matches
209,Reece James\Reece-James,eng ENG,DF,Chelsea,21-104,1999,23,18,1723,19.1,1,2,1,0,0,3,0,0.05,0.10,0.16,0.05,0.16,1.2,1.2,2.3,3.5,0.06,0.12,0.18,0.06,0.18,Matches
210,Alexandre Jankewitz\Alexandre-Jankewitz,ch SUI,MF,Southampton,19-087,2001,2,1,3,0.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
211,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,23-353,1997,21,15,1481,16.5,7,3,7,0,0,1,0,0.43,0.18,0.61,0.43,0.61,6.5,6.5,2.6,9.0,0.39,0.16,0.55,0.39,0.55,Matches
212,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,29-321,1991,10,10,823,9.1,4,0,4,0,0,0,0,0.44,0.00,0.44,0.44,0.44,2.4,2.4,0.8,3.1,0.26,0.08,0.34,0.26,0.34,Matches
213,Joelinton\Joelinton,br BRA,FWMF,Newcastle Utd,24-220,1996,23,17,1536,17.1,1,2,1,0,0,3,0,0.06,0.12,0.18,0.06,0.18,2.8,2.8,1.4,4.2,0.16,0.08,0.25,0.16,0.25,Matches
214,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,21-057,2000,10,4,393,4.4,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08,Matches
215,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,27-362,1993,28,28,2520,28.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
216,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,20-051,2001,20,12,1089,12.1,1,1,1,0,0,2,0,0.08,0.08,0.17,0.08,0.17,1.4,1.4,1.1,2.4,0.11,0.09,0.20,0.11,0.20,Matches
217,Jorginho\Jorginho,it ITA,MF,Chelsea,29-092,1991,20,16,1437,16.0,6,1,0,6,8,0,0,0.38,0.06,0.44,0.00,0.06,6.2,0.1,1.4,1.6,0.39,0.09,0.48,0.01,0.10,Matches
218,Willian José\Willian-Jose,br BRA,FW,Wolves,29-119,1991,9,8,659,7.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.09,0.04,0.12,0.09,0.12,Matches
219,Diogo Jota\Diogo-Jota,pt POR,FW,Liverpool,24-108,1996,12,7,703,7.8,6,0,6,0,0,1,0,0.77,0.00,0.77,0.77,0.77,3.0,3.0,1.3,4.3,0.38,0.17,0.56,0.38,0.56,Matches
220,James Justin\James-Justin,eng ENG,DF,Leicester City,23-027,1998,23,23,2070,23.0,2,1,2,0,0,4,0,0.09,0.04,0.13,0.09,0.13,1.6,1.6,1.6,3.2,0.07,0.07,0.14,0.07,0.14,Matches
221,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Liverpool,20-362,2000,5,5,450,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
222,Aboubakar Kamara\Aboubakar-Kamara,fr FRA,FWDF,Fulham,26-015,1995,11,2,315,3.5,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.11,0.11,0.22,0.11,0.22,Matches
223,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,27-237,1993,27,27,2363,26.3,17,13,13,4,4,1,0,0.65,0.50,1.14,0.50,0.99,13.9,11.6,6.3,17.9,0.55,0.25,0.80,0.46,0.71,Matches
224,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,29-358,1991,25,21,1903,21.1,0,2,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,0.8,0.8,1.1,1.9,0.04,0.05,0.09,0.04,0.09,Matches
225,Moise Kean\Moise-Kean,it ITA,FW,Everton,21-022,2000,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.21,0.00,0.21,0.21,0.21,Matches
226,Michael Keane\Michael-Keane,eng ENG,DF,Everton,28-070,1993,27,25,2271,25.2,3,1,3,0,0,3,0,0.12,0.04,0.16,0.12,0.16,1.2,1.2,0.9,2.0,0.05,0.03,0.08,0.05,0.08,Matches
227,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,29-012,1992,5,1,119,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.22,0.00,0.22,0.22,0.22,Matches
228,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,26-040,1995,10,7,520,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,1.3,0.09,0.14,0.23,0.09,0.23,Matches
229,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,22-119,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
230,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,24-007,1997,4,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
231,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,19-261,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
232,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,23-303,1997,15,12,1121,12.5,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.5,0.9,0.03,0.04,0.08,0.03,0.08,Matches
233,Joshua King\Joshua-King,no NOR,MFFW,Everton,29-066,1992,8,0,125,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
234,Mateusz Klich\Mateusz-Klich,pl POL,MF,Leeds United,30-282,1990,29,25,2098,23.3,3,5,1,2,2,6,0,0.13,0.21,0.34,0.04,0.26,2.9,1.4,3.6,5.0,0.12,0.15,0.28,0.06,0.21,Matches
235,Robin Koch\Robin-Koch,de GER,DF,Leeds United,24-248,1996,12,11,909,10.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.07,0.02,0.08,0.07,0.08,Matches
236,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,27-275,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
237,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,23-150,1997,26,25,2296,25.5,2,0,2,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.4,1.4,0.0,1.4,0.06,0.00,0.06,0.06,0.06,Matches
238,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,DF,Crystal Palace,31-091,1989,27,26,2313,25.7,1,0,1,0,0,0,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.1,0.9,0.03,0.01,0.04,0.03,0.04,Matches
239,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,26-320,1994,23,18,1519,16.9,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.8,0.8,1.4,2.2,0.05,0.08,0.13,0.05,0.13,Matches
240,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,26-232,1994,11,9,868,9.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.02,0.01,0.02,Matches
241,Filip Krovinović\Filip-Krovinovic,hr CRO,MF,West Brom,25-205,1995,11,5,546,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.04,0.05,0.09,0.04,0.09,Matches
242,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,29-298,1991,25,19,1621,18.0,11,2,8,3,3,3,0,0.61,0.11,0.72,0.44,0.56,8.6,6.3,2.3,8.6,0.48,0.13,0.61,0.35,0.48,Matches
243,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,32-316,1988,23,13,1187,13.2,1,1,1,0,0,0,0,0.08,0.08,0.15,0.08,0.15,1.7,1.7,2.6,4.4,0.13,0.20,0.33,0.13,0.33,Matches
244,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,29-018,1992,17,5,601,6.7,1,0,1,0,0,6,1,0.15,0.00,0.15,0.15,0.15,1.1,1.1,0.9,1.9,0.16,0.13,0.29,0.16,0.29,Matches
245,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,20-173,2000,11,11,886,9.8,1,1,1,0,0,4,1,0.10,0.10,0.20,0.10,0.20,0.6,0.6,1.1,1.7,0.06,0.11,0.17,0.06,0.17,Matches
246,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,28-035,1993,13,3,408,4.5,1,1,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,1.2,1.2,0.7,1.9,0.26,0.17,0.42,0.26,0.42,Matches
247,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,26-299,1994,12,11,1029,11.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.6,0.03,0.02,0.05,0.03,0.05,Matches
248,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,27-131,1993,18,18,1535,17.1,2,0,2,0,0,4,0,0.12,0.00,0.12,0.12,0.12,0.9,0.9,0.0,1.0,0.05,0.00,0.06,0.05,0.06,Matches
249,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,31-162,1989,2,1,123,1.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
250,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,27-202,1993,22,13,1184,13.2,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.8,0.8,0.7,1.5,0.06,0.05,0.11,0.06,0.11,Matches
